CustomerID,Age,Gender,Tenure_Months,MonthlyCharges,TotalCharges,Churn
CUST_10909,78.0,Male,22,40.67,$894.74,1
CUST_10736,46.0,Female,54,80.14,$4327.56,0
CUST_11040,68.0,Female,61,105.85,$6456.85,0
CUST_10116,33.0,Others,60,148.11,$8886.60,0
CUST_10840,59.0,Male,13,27.08,$352.04,0
CUST_11388,73.0,Female,35,87.16,$3050.60,0
CUST_11244,34.0,Male,37,102.53,$3793.61,0
CUST_10338,24.0,Female,8,125.62,$1004.96,0
CUST_10977,78.0,Female,39,43.92,$1712.88,0
CUST_10835,55.0,Female,66,116.28,$7674.48,0
CUST_11013,52.0,Female,67,133.91,$8971.97,0
CUST_10775,65.0,Female,47,94.16,$4425.52,0
CUST_11368,54.0,Female,26,110.08,$2862.08,0
CUST_10095,71.0,Female,2,49.04,$98.08,0
CUST_10145,52.0,Others,60,61.88,$3712.80,0
CUST_11457,64.0,Female,13,115.59,$1502.67,0
CUST_11278,74.0,Male,35,89.66,$3138.10,0
CUST_10600,70.0,Female,59,59.73,$3524.07,0
CUST_11218,40.0,Female,12,80.68,$968.16,0
CUST_11243,42.0,Female,1,88.52,$88.52,1
CUST_10825,28.0,Male,5,39.05,$195.25,1
CUST_10755,56.0,Female,63,123.47,$7778.61,0
CUST_10206,32.0,Male,68,148.68,$10110.24,0
CUST_10298,61.0,Male,1,56.19,$56.19,1
CUST_11234,27.0,Male,7,57.61,$403.27,0
CUST_10586,67.0,Male,68,149.34,$10155.12,0
CUST_10409,71.0,Male,58,68.1,$3949.80,0
CUST_11112,34.0,Female,65,57.45,$3734.25,0
CUST_11045,18.0,Male,22,144.93,$3188.46,0
CUST_10884,37.0,Female,66,66.32,$4377.12,0
CUST_10608,75.0,Male,65,61.96,$4027.40,0
CUST_10803,69.0,Female,62,60.74,$3765.88,0
CUST_11317,73.0,Male,12,31.81,$381.72,1
CUST_10788,26.0,Female,14,98.65,$1381.10,0
CUST_11207,41.0,Female,8,39.44,$315.52,0
CUST_10438,55.0,Male,13,80.81,$1050.53,0
CUST_11494,46.0,Male,63,132.6,$8353.80,0
CUST_11208,19.0,Female,59,129.55,$7643.45,0
CUST_10370,29.0,Female,30,89.15,$2674.50,0
CUST_10386,73.0,Male,6,107.85,$647.10,0
CUST_11258,51.0,Others,29,108.93,$3158.97,0
CUST_11404,31.0,Male,71,117.48,$8341.08,0
CUST_10191,77.0,Female,69,134.14,$9255.66,0
CUST_10131,62.0,Male,34,105.94,$3601.96,0
CUST_11003,43.0,Female,1,28.2,$28.20,0
CUST_11223,62.0,Male,38,128.73,$4891.74,0
CUST_11020,34.0,Female,12,31.72,$380.64,1
CUST_10194,49.0,Female,13,95.16,$1237.08,0
CUST_10673,18.0,Male,4,109.45,$437.80,1
CUST_10894,79.0,Female,70,111.75,$7822.50,0
CUST_11429,78.0,Others,13,113.97,$1481.61,1
CUST_10838,30.0,Male,68,117.46,$7987.28,0
CUST_11399,46.0,Male,42,35.53,$1492.26,0
CUST_10287,45.0,Male,19,74.78,$1420.82,1
CUST_11232,54.0,Male,13,143.85,NULL_SYSTEM_ERROR,1
CUST_10717,40.0,Female,47,523.6800000000001,$2051.08,1
CUST_10023,19.0,Male,8,72.07,,0
CUST_10742,74.0,Female,32,141.92,$4541.44,0
CUST_10733,67.0,Female,39,138.19,$5389.41,0
CUST_11247,42.0,Female,70,121.0,$8470.00,0
CUST_10782,53.0,Female,68,122.23,,0
CUST_10280,66.0,Male,24,72.45,$1738.80,1
CUST_10381,33.0,Others,18,31.32,$563.76,0
CUST_10776,42.0,Female,55,90.06,$4953.30,0
CUST_10965,34.0,Male,10,69.57,$695.70,1
CUST_10444,44.0,Others,54,78.7,$4249.80,0
CUST_10283,76.0,Female,30,36.42,$1092.60,0
CUST_10059,38.0,Male,8,141.05,$1128.40,1
CUST_11083,55.0,Female,19,32.02,$608.38,0
CUST_11107,22.0,Male,67,141.35,$9470.45,0
CUST_11382,79.0,Male,45,112.61,$5067.45,0
CUST_10085,53.0,Female,39,35.94,$1401.66,0
CUST_10765,30.0,Female,57,99.75,$5685.75,0
CUST_10269,79.0,Female,31,52.51,$1627.81,0
CUST_10738,53.0,Male,16,58.06,$928.96,0
CUST_10862,53.0,Female,69,96.47,$6656.43,0
CUST_11380,66.0,Female,62,142.34,$8825.08,0
CUST_10092,71.0,Male,3,104.64,$313.92,0
CUST_10569,61.0,Female,6,136.41,$818.46,1
CUST_11063,18.0,Male,22,140.27,$3085.94,0
CUST_11311,21.0,Male,69,136.28,$9403.32,0
CUST_10030,38.0,Female,54,143.56,$7752.24,0
CUST_10865,48.0,Female,49,76.14,$3730.86,0
CUST_10504,44.0,Male,25,28.09,$702.25,1
CUST_10432,39.0,Male,28,120.21,$3365.88,0
CUST_10604,29.0,Female,34,146.93,$4995.62,0
CUST_11109,21.0,Female,58,118.3,,0
CUST_10955,75.0,Female,34,41.62,$1415.08,1
CUST_11460,69.0,,40,64.5,$2580.00,0
CUST_11480,76.0,Female,39,72.25,$2817.75,0
CUST_10905,61.0,Female,22,32.61,$717.42,0
CUST_11100,32.0,Female,26,127.2,$3307.20,0
CUST_10686,,Male,24,99.1,$2378.40,0
CUST_11009,30.0,Male,29,100.0,$2900.00,0
CUST_11365,19.0,Male,66,145.26,$9587.16,0
CUST_11265,59.0,Female,48,78.25,$3756.00,0
CUST_11096,74.0,Male,64,133.65,$8553.60,0
CUST_10526,75.0,Female,9,65.73,$591.57,1
CUST_10461,61.0,Female,65,36.66,$2382.90,0
CUST_11153,75.0,,45,126.01,$5670.45,0
CUST_11278,74.0,Male,35,89.66,$3138.10,0
CUST_10834,78.0,Female,69,145.2,$10018.80,0
CUST_10318,,Male,60,122.52,$7351.20,0
CUST_10544,49.0,Female,68,136.4,$9275.20,0
CUST_11427,,Male,49,46.82,$2294.18,0
CUST_10426,34.0,Female,21,28.75,$603.75,1
CUST_10105,48.0,Female,23,92.88,$2136.24,0
CUST_10589,47.0,Female,64,109.21,$6989.44,0
CUST_10564,54.0,Female,15,128.72,$1930.80,1
CUST_10714,68.0,Female,61,149.45,$9116.45,0
CUST_11389,28.0,Male,51,47.3,,0
CUST_10724,43.0,Female,58,95.86,$5559.88,0
CUST_10290,54.0,Male,71,107.26,$7615.46,0
CUST_11363,30.0,Male,37,125.7,$4650.90,0
CUST_10250,,Male,64,53.94,$3452.16,0
CUST_10040,,Female,55,120.05,$6602.75,0
CUST_11119,51.0,Female,32,94.23,NULL_SYSTEM_ERROR,0
CUST_11330,22.0,Male,54,94.19,$5086.26,0
CUST_10412,78.0,Male,60,40.26,$2415.60,0
